Name of the Project,Link to the project,Project Details,Start Date
OODA GCRF and Newton Consolidation Accounts - National Inst of Agricultural Botany,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-5PFKKDP/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - University of Ulster,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-JC7TQA2/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - University of Aberdeen,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-KQ3LZPT/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
"OODA GCRF and Newton Consolidation Accounts - SOAS, University of London",https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-2QM5S84/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - University of Reading,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-NPBCAGH/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - International Institute for Env and Dev,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-P48YDLK/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - University of York,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-FJB3B8Y/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - University of Bath,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-6CKEAZP/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - University of Stirling,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-XSFVNZ4/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - Queen Mary University of London,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-W7MTWNJ/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - Bangor University,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-2JQG9GG/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - Cardiff University,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-PCHUZZU/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - The University of Manchester,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-EV75F3N/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - British Geological Survey,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-2AJ9TKR/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
OODA GCRF and Newton Consolidation Accounts - University of Nottingham,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-OODA-UKRI-RYHPP58-GX4VQC3-PQJQA2S/summary,"The GNCAs represent an additional allocation from BEIS designed to reinvest in excellent UKRI Global Challenges Research Fund (GCRF) and Newton Fund programmes and enable them to maximise development impact. This involves instances where funding can be utilized to 9 original grant objectives affected by the ODA review, or opportunities for new follow-on, knowledge exchange or impact activities. In either case, the funding is targeted to support research along the route to achieving economic or social impact in countries on the OECD DAC list.",2022-4-1
Enhancing Gender Outcomes through Social Services Systems Strengthening (Samartha),https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-301596/summary,"This programme will focus on improving the systems and capacity of local government to deliver its social service mandates with a specific focus on improving access to quality health and education services, especially by women, girls and excluded groups.  This will be complemented with national policy support in the Health and Education sectors to ensure sector policies and resource allocations align to support Nepal in building responsive and resilient Health and Education systems.",2023-12-7
Project Coordination Units (PCUs),https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-300715/summary,"As Nepal transitions to a federal republic, FCDO, Nepal (British Embassy Kathmandu) will set up Provincial Coordination Units (PCUs) to build relationships with the new provincial and local Governments; develop an understanding of their needs and the political context they work in; coordinate FCDO programmes in the province and link the provincial and local Governments with technical assistance through existing programmes to support the newly elected officials to create effective, accountable and inclusive institutions. The PCUs will ensure that FCDO has the political understanding required to enable FCDO, British Embassy’s current and future programmes to operate effectively within the new system.",2018-10-31
Nepal Health Sector  Programme III,https://devtracker.fcdo.gov.uk/projects/GB-1-205145/summary,"To improve the health of women, children,  the poor and socially excluded in Nepal, including by restoring health services in areas affected by the 2015 earthquake, and improving the quality and governance of health services nationwide.",2016-7-11
Climate Smart Development for Nepal,https://devtracker.fcdo.gov.uk/projects/GB-1-204984/summary,"This will help Nepal to cope with impacts of climate change (CC) and promote clean development. It will provide strategic support to the Govt of Nepal to design and implement CC policies, to integrate resilience throughout government planning. This will:Improve resilience of 700,000 poor & vulnerable people (especially women) to floods, landslides, droughts in most remote districts;Improve resilience of businesses in 5 growing urban centres & 3 river basins through investments in urban planning, large scale irrigation systems & flood management;Facilitate connection of over 25,000 households to new micro-hydro power installations; connect over 70,000 homes to solar power & install RET in more than 200 schools/health clinics;Develop industry standard for ‘clean’ brick production and enable over half of the brick kilns (at least 400) to adopt more efficient technologies;Improve design of future CC programming & beyond through generation of world class evidence",2016-10-6
Evidence for Development,https://devtracker.fcdo.gov.uk/projects/GB-1-203385/summary,"The Evidence for Development (E4D) programme aims to strengthen the data and evidence ecosystem in Nepal. It focuses on federal, provincial, local government and non-government actors to promote use of data and evidence for more effective and efficient programmes and policies and longer-term strategic portfolio design and management. It also aims to foster a culture of learning in the British Embassy Kathmandu (BEK), among other Development Partners and in the Governments of Nepal.",2015-10-12
Strengthening disaster resilience in Nepal,https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-300003/summary,"This project will strengthen disaster resilience in Nepal, particularly to earthquakes, by working with urban centres to build and plan more safely; supporting the strengthening of critical public infrastructure to earthquakes; working to strengthen national capacity to respond to crises and ensure that the international community is prepared; and ensuring that the UK is able to support a humanitarian response should a crises hit.",2016-9-6
Public Financial Management Multi Donor Trust Fund – Phase II,https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-300007/summary,The programme provides support to strengthen Nepal’s Public Finance Management (PFM) systems in the context of the implementation of federalism.,2017-12-6
Skills for Employment Programme,https://devtracker.fcdo.gov.uk/projects/GB-1-204857/summary,"This programme will provide young Nepalis with the opportunities to improve their employability, productivity and decision-making. It will continue and expand DFID’s ambition on skills training in Nepal, by providing skills training to at least 100,000 poor and disadvantaged young Nepalis - especially women- so that they can access better jobs and higher incomes. In response to the April 2015 earthquake, one component will focus DFID resources on providing skills to Nepalis in earthquake-resistant housing construction to help with the enormous reconstruction needs in earthquake-affected districts.",2015-9-29
Nepal Local Infrastructure Support Programme (LISP),https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-301010/summary,The Local Infrastructure Support Programme will improve Nepal’s new local and provincial governments’ delivery of the local infrastructure services demanded by rural citizens to create jobs and drive economic development. LISP will do this by providing technical assistance and performance-based capital funding to improve the delivery and resilience of local infrastructure. It will focus on increasing the legitimacy and accountability of local government to their citizens. LISP will directly support the use of the systems and capacity developed by the sister Provincial and Local Government Support Programme.,2023-3-17
Resilient Water Sanitation and Hygiene (WASH) and Emergency Preparedness Programme (RWEPP),https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-301013/summary,"The Resilient Water Sanitation and Hygiene (WASH) and Emergency Preparedness Programme (RWEPP) is a five-year programme that started in July 2021. The RWEPP aims to increase inclusive access to sustainable and resilient Water, Sanitation and Hygiene (WASH) services, and strengthen the resilience of communities to deal with climate induced disasters. The programme partners are the Gurkha Welfare Trust (GWT) and UNICEF.",2021-6-17
Accelerating Investment and Infrastructure in Nepal,https://devtracker.fcdo.gov.uk/projects/GB-1-203427/summary,To accelerate private investment and economic growth in Nepal by providing technical expertise to help Nepalese institutions develop major infrastructure; improve the business climate for domestic and foreign investors; improve the implementation of economic policy and test new approaches for local economic development. This will result in at least £600 million of private investment into growth-boosting sectors and a reduction by at least 10% in time or cost for at least five regulatory processes perceived as burdensome by the private sector.,2014-8-4
Security and Justice Programme 2,https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-300955/summary,"To achieve better security and access to justice. It will help improve the justice and rehabilitation experience of women who have survived violence. While a focus on GBV will run through the programme, other systemic reform initiatives will also impact on how other forms of violence, such as political violence, are prevented and managed.",2022-4-12
Green  Growth  Nepal,https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-301260/summary,"GGN will increase green, resilient, and inclusive growth by expanding investment in green industries and services, improving climate-resilient infrastructure, and strengthening sustainable economic policy and facilitating economic opportunities across Nepal. This will create prosperity while protecting the environment and the natural assets that underpin sustainable growth in Nepal.",2023-6-28
Research and Evidence for Nepal’s Transition (RENT) - Supporting portfolio-wide learning to programme adaptively,https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-300785/summary,To provide research on Nepal’s change to a system of federal government - to improve learning for portfolio management and programme adaptation.,2019-4-16
Nepal in Business (NIB) Programme,https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-300965/summary,"The Nepal in Business programme will unlock economic prosperity by generating inclusive growth, expanding businesses, and addressing income poverty in Nepal. The programme will do this by supporting and financing small and medium sized enterprises (SMEs) to build organisational effectiveness through improved management and productivity, to achieve business growth and create jobs. It will partner with government to create a more conducive business environment in Nepal, delivering the reforms that matter to improve the ease of business. It will establish a recyclable fund to improve access to finance for SMEs by crowding-in commercial finance.",2023-5-17
Strengthening Foundations of Federalism in Nepal,https://devtracker.fcdo.gov.uk/projects/GB-GOV-1-300009/summary,"In addition, the programme through other components like Coherence supports local elected leaders, local government associations, and provincial and federal government to promote inclusive decision-making processes and capacity of local governments (input code: 15150- democratic participation and civil society). A modest pilot is also being implemented to test if issues-based approach to development problem solving will promote state-citizen engagement and improve development outcomes especially those contributing to a meaningful inclusion of women and marginalised groups. Both coherence and the pilot will be grounded in evidence and regular political economy analysis (isc: 43082, 15170 - governance research; women's equality organizations and institutions)",2019-12-13
"Conflict, Stability and Security Fund (CSSF)",https://devtracker.fcdo.gov.uk/projects/GB-GOV-3-CSSF/summary,"Conflict, Stability and Security Fund (CSSF)",2017-4-1
British Council: Official Development Assistance (ODA) support,https://devtracker.fcdo.gov.uk/projects/GB-GOV-3-BC/summary,Strengthening cultural and educational development by building skills and capacity and by creating new opportunities and connections with the UK,2016-4-1
