Name of the Project,Link to the project,Project Status,Project Description
Trade Policy and Trade Facilitation Expert,https://adb.org//node/817511,Status: Closed,"54392-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Transport;
Posting date:
18 Aug 2022"
Sector Strategy Expert (Power System Planning),https://adb.org//node/816736,Status: Closed,"53117-001; Regional, Bangladesh, Bhutan, India, Myanmar, Nepal, Sri Lanka, Thailand; Transport;
Posting date:
13 Aug 2022"
Power Transmission and Distribution Specialist (PTDS),https://adb.org//node/816276,Status: Closed,"53238-001; Nepal; Public sector management;
Posting date:
12 Aug 2022"
National Environment Expert,https://adb.org//node/814146,Status: Closed,"52070-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Energy;
Posting date:
11 Aug 2022"
Microfinance Risk Participation and Guarantee Program - Transaction Support for Expansion Subproject 2: Expansion Support (Transaction Support Analyst-Financial),https://adb.org//node/816026,Status: Closed,"44934-019; Regional, Bangladesh, Cambodia, Fiji, Georgia, India, Indonesia, Nepal, Pakistan, Philippines, Samoa, Uzbekistan; Finance;
Posting date:
11 Aug 2022"
Microfinance Risk Participation and Guarantee Program - Transaction Support for Expansion Subproject 2: Expansion Support (Project Coordinator/Financial Analyst),https://adb.org//node/816016,Status: Closed,"44934-019; Regional, Bangladesh, Cambodia, Fiji, Georgia, India, Indonesia, Nepal, Pakistan, Philippines, Samoa, Uzbekistan; Finance;
Posting date:
11 Aug 2022"
Improving Safeguard Implementation in South Asia (Environment Safeguards Specialist - Impact Assessment and Monitoring),https://adb.org//node/815601,Status: Closed,"53136-001; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy;
Posting date:
10 Aug 2022"
Improving Safeguard Implementation in South Asia - (Environment Safeguards Specialist - Hydropower),https://adb.org//node/815596,Status: Closed,"53136-001; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy;
Posting date:
10 Aug 2022"
National Coordinator (Communications Specialist),https://adb.org//node/815586,Status: Closed,"52227-001; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy;
Posting date:
10 Aug 2022"
Green and Resilient Rural Recovery through Agri-Food System Transformation in the Asia and Pacific Region - Knowledge Management and Communications Expert,https://adb.org//node/812901,Status: Closed,"55113-001; Regional, Bangladesh, Cambodia, India, Kyrgyz Republic, Lao People's Democratic Republic, Maldives, Mongolia, Nauru, Nepal, Pakistan, China, People's Republic of, Sri Lanka, Vanuatu, Viet Nam; Agriculture, natural resources and rural development;
Posting date:
10 Aug 2022"
Green and Resilient Rural Recovery through Agri-Food System Transformation in the Asia and Pacific Region - Multimedia Expert,https://adb.org//node/812861,Status: Closed,"55113-001; Regional, Bangladesh, Cambodia, India, Kyrgyz Republic, Lao People's Democratic Republic, Maldives, Mongolia, Nauru, Nepal, Pakistan, China, People's Republic of, Sri Lanka, Vanuatu, Viet Nam; Agriculture, natural resources and rural development;
Posting date:
10 Aug 2022"
4109-NEP: Electricity Grid Modernization Project-Additional Financing [PMD/EGMPAF/KNTLP-079/80-01],https://adb.org//node/815821,Status: Closed,"54107-002; Nepal; Energy;
Posting date:
10 Aug 2022"
4109-NEP: Electricity Grid Modernization Project-Additional Financing [PMD/EGMPAF/KNTLP-079/80-01],https://adb.org//node/815816,Status: Closed,"54107-002; Nepal; Energy;
Posting date:
10 Aug 2022"
National Social Safeguards Expert,https://adb.org//node/815011,Status: Closed,"52070-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Energy;
Posting date:
07 Aug 2022"
Health Insurance and Financing Expert,https://adb.org//node/813286,Status: Closed,"53304-001; Regional, Armenia, Lao People's Democratic Republic, Nepal; Health;
Posting date:
06 Aug 2022"
Policy and Advisory Technical Assistance,https://adb.org//projects/54146-001/main#project-tenders,Status: Awarded,"54146-001; Nepal; Public sector management; Contract date:
05 Aug 2022"
Economic and Finance Expert,https://adb.org//node/807751,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
04 Aug 2022"
Institutional Capacity Development and Project Management (ICDPMPM) Expert,https://adb.org//node/814131,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
03 Aug 2022"
Climate Change Adaptation Specialist – Urban Development Sector,https://adb.org//node/807776,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
31 Jul 2022"
"GESI expert with sectoral focus on health, public finance, social protection, and gender responsive budgeting (IND)",https://adb.org//node/801456,Status: Closed,"54305-001; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy;
Posting date:
30 Jul 2022"
International Power System Specialist (Transmission Substation),https://adb.org//node/813516,Status: Closed,"50059-003; Nepal; Energy;
Posting date:
30 Jul 2022"
Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia-Climate Knowledge Management and Administration Expert,https://adb.org//node/813291,Status: Closed,"46470-003; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy;
Posting date:
29 Jul 2022"
Sustaining Climate and Disaster Risk Resilient and Low Carbon Development in South Asia-Climate Knowledge Management and Administration Expert,https://adb.org//node/813281,Status: Closed,"46470-003; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy;
Posting date:
29 Jul 2022"
Institutional Capacity Development (ICD) Expert,https://adb.org//node/807671,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
29 Jul 2022"
Research and Development Technical Assistance,https://adb.org//projects/49054-001/main#project-tenders,Status: Awarded,"49054-001; Regional, Nepal, Pakistan, Tajikistan, Viet Nam; Agriculture, natural resources and rural development; Contract date:
28 Jul 2022"
Green and Resilient Rural Recovery through Agri-Food System Transformation in the Asia and Pacific Region - Senior Natural Capital Finance Specialist,https://adb.org//node/812881,Status: Closed,"55113-001; Regional, Bangladesh, Cambodia, India, Kyrgyz Republic, Lao People's Democratic Republic, Maldives, Mongolia, Nauru, Nepal, Pakistan, China, People's Republic of, Sri Lanka, Vanuatu, Viet Nam; Agriculture, natural resources and rural development;
Posting date:
27 Jul 2022"
Resource person on Pacific debt,https://adb.org//node/812606,Status: Closed,"56036-001; Regional, Bangladesh, Bhutan, Cambodia, Fiji, Micronesia, Federated States of, Kyrgyz Republic, Kiribati, Lao People's Democratic Republic, Maldives, Mongolia, Nauru, Nepal, Niue, Pakistan, Palau, Papua New Guinea, Marshall Islands, Samoa, Solomon Islands, Tajikistan, Timor-Leste, Tonga, Tuvalu, Uzbekistan, Vanuatu; Public sector management;
Posting date:
26 Jul 2022"
Municipal Governance Specialist,https://adb.org//node/811916,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
21 Jul 2022"
National WASH Consultant Firm,https://adb.org//node/810801,Status: Closed,"54342-001; Regional, Bangladesh, Mongolia, Nepal, Pakistan, Philippines, Sri Lanka, Uzbekistan; Water and other urban infrastructure and services;
Posting date:
19 Jul 2022"
Digital Payment and Rural Finance Expert (International),https://adb.org//node/810786,Status: Closed,"48218-012; Nepal; Agriculture, natural resources and rural development;
Posting date:
19 Jul 2022"
Bhojpur Sewerage and DEWATS Subproject,https://adb.org//projects/35173-015/main#project-tenders,Status: Awarded,"35173-015; Nepal; Water and other urban infrastructure and services; Contract date:
18 Jul 2022"
Capacity Development Technical Assistance,https://adb.org//projects/54235-001/main#project-tenders,Status: Awarded,"54235-001; Regional, Bangladesh, Bhutan, India, Nepal, Sri Lanka; Public sector management; Contract date:
12 Jul 2022"
National Coordinator (Solar Energy Expert),https://adb.org//node/808241,Status: Closed,"52227-001; Regional, Bangladesh, Bhutan, India, Maldives, Nepal, Sri Lanka; Energy;
Posting date:
12 Jul 2022"
Strengthening Capacity to Design and Implement Water and Rural Infrastructure Facility - Social Development and Gender Expert (national) for BAN: RCIP-AF2,https://adb.org//node/807956,Status: Closed,"51322-001; Regional, Bangladesh, Bhutan, Nepal, Sri Lanka; Agriculture, natural resources and rural development;
Posting date:
09 Jul 2022"
International Climate Change Adaptation Specialist – Urban Development Sector,https://adb.org//node/807706,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
08 Jul 2022"
Social Development and Gender Expert,https://adb.org//node/807681,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
08 Jul 2022"
"Water Supply, Drainage, Wastewater, and Solid Waste Management Expert",https://adb.org//node/807666,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
08 Jul 2022"
Climate Resilient and Water Supply Project,https://adb.org//node/807291,Status: Closed,"54342-001; Regional, Bangladesh, Mongolia, Nepal, Pakistan, Philippines, Sri Lanka, Uzbekistan; Water and other urban infrastructure and services;
Posting date:
06 Jul 2022"
Hangar Area Development at East side of Runway at TIA and Associated Works,https://adb.org//projects/38349-031/main#project-tenders,Status: Awarded,"38349-031; Nepal; Transport; Contract date:
06 Jul 2022"
Project Supervision Consultant (Phase II),https://adb.org//projects/44219-014/main#project-tenders,Status: Awarded,"44219-014; Nepal; Energy; Contract date:
05 Jul 2022"
"Supporting Integrity Due Diligence for Private Sector Infrastructure Projects in Central, West and South Asia (2022)",https://adb.org//node/765451,Status: Closed,"55208-001; Regional, Afghanistan, Armenia, Azerbaijan, Bangladesh, Bhutan, Georgia, India, Kazakhstan, Kyrgyz Republic, Nepal, Pakistan, Sri Lanka, Tajikistan, Turkmenistan, Uzbekistan; Energy;
Posting date:
04 Jul 2022"
SRIP/IND/EMES/01,https://adb.org//node/806981,Status: Closed,"48337-002; Nepal; Transport;
Posting date:
02 Jul 2022"
National Environment Expert,https://adb.org//node/804901,Status: Closed,"52070-001; Regional, Bangladesh, Bhutan, India, Maldives, Myanmar, Nepal, Sri Lanka; Energy;
Posting date:
01 Jul 2022"
52097-NEP: SASEC Highway Enhancement Project for Kakarbhitta - Laukahi Section of East-West Highway [SHEP/OCB/KL Lots 1-5],https://adb.org//node/806586,Status: Closed,"52097-003; Nepal; Transport;
Posting date:
30 Jun 2022"
Procurement Specialist for BAN RCIP-AF2,https://adb.org//node/806471,Status: Closed,"51322-001; Regional, Bangladesh, Bhutan, Nepal, Sri Lanka; Agriculture, natural resources and rural development;
Posting date:
30 Jun 2022"
Gender Equality and Social Inclusion (GESI) Expert,https://adb.org//node/806216,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
29 Jun 2022"
Financial Management Specialist,https://adb.org//node/806201,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
29 Jun 2022"
Procurement Expert,https://adb.org//node/806196,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
29 Jun 2022"
Contract agreement for execution and completion of construction works of Saptakoshi Water Supply and Sanitation Project in Saptari district,https://adb.org//projects/35173-015/main#project-tenders,Status: Awarded,"35173-015; Nepal; Water and other urban infrastructure and services; Contract date:
29 Jun 2022"
Contract agreement for execution and completion of construction works of Saptakoshi Water Supply and Sanitation Project in Saptari district,https://adb.org//projects/35173-015/main#project-tenders,Status: Awarded,"35173-015; Nepal; Water and other urban infrastructure and services; Contract date:
29 Jun 2022"
Engineer,https://adb.org//node/805421,Status: Closed,"54153-001; Nepal; Education;
Posting date:
25 Jun 2022"
"Design, Supply, Installation, Testing, and Commissioning of 132/33/11 kV Pangtan Substation and Associated Bay Expansion works at Bahrabise Substation",https://adb.org//projects/54107-001/main#project-tenders,Status: Awarded,"54107-001; Nepal; Energy; Contract date:
24 Jun 2022"
Associate Economist (Macroeconomic Surveillance),https://adb.org//node/805146,Status: Closed,"54235-001; Regional, Bangladesh, Bhutan, India, Nepal, Sri Lanka; Public sector management;
Posting date:
24 Jun 2022"
Research Associate (Macroeconomic Surveillance),https://adb.org//node/805141,Status: Closed,"54235-001; Regional, Bangladesh, Bhutan, India, Nepal, Sri Lanka; Public sector management;
Posting date:
24 Jun 2022"
Strengthening Capacity to Design and Implement Water and Rural Infrastructure Facility - Social Safeguards Specialist for NEP: RCIP-AF,https://adb.org//node/804871,Status: Closed,"51322-001; Regional, Bangladesh, Bhutan, Nepal, Sri Lanka; Agriculture, natural resources and rural development;
Posting date:
23 Jun 2022"
