"Name of the Project","Duration of the Project","Sector"
"Bureau of Diplomatic Security - Special Contracts for Research, Development and Others - Police/Military Guards (A, B)","","Government and Civil Society"
"Bureau of Diplomatic Security - Special Contracts for Research, Development and Others - Police/Military Guards (A, B)","","Government and Civil Society"
"Bureau of Diplomatic Security - Special Contracts for Research, Development and Others - Police/Military Guards (A, B)","","Government and Civil Society"
"Bureau of Diplomatic Security - 19318814Y0015","2016-05-01 - 2017-10-31","Government and Civil Society"
"Bureau of Diplomatic Security - S-OES-13-IAA-0021","","Government and Civil Society"
"U.S. Peace Corps Volunteer Medical Support","","Basic Health"
"U.S. Peace Corps Direct Volunteer Support","","Basic Health"
"U.S. Peace Corps Volunteer Safety and Security","","Basic Health"
"U.S. Peace Corps Volunteer In-Service Training","","Basic Health"
"Bureau of Diplomatic Security - Forensic Assistance to Address Human Rights Violat","","Government and Civil Society"
"USAID Communications, Utilities, and Rental Payments","","HIV/AIDS"
"Bureau of Diplomatic Security - GRANT FOR IMPROVING FISCAL TRANSPARENCY IN NIGER","","Government and Civil Society"
"U.S. Peace Corps Volunteer Pre-Service Training","","Basic Health"
"Nepal Family Health Program II","2007-12-19 - 2012-11-14","Maternal and Child Health, Family Planning"
"Bureau of Diplomatic Security - Egypt Security Scanner Expert Consultant","","Government and Civil Society"
"Bureau of Diplomatic Security - Egypt AS&E Xray Machines Sites","","Government and Civil Society"
"Bureau of Diplomatic Security - Telephone Svc","2012-09-30 - 2017-09-29","Government and Civil Society"
"Hill Maize Research Project","2010-09-03 - 2015-03-31","Agriculture"
"Technical and Operational Performance Support (TOPS)","2010-08-13 - 2018-01-31","Emergency Response"
"Disaster Relief - Nepal Earthquake","","Emergency Response"
"Ministry of Health and Population Implementation Letter - Support To AEPC","2013-07-16 - 2015-07-15","General Environmental Protection"
"Architectural and Engineering (A/E) Services for the Hetauda Central Warehouse","2008-09-30 - 2017-07-31","Administration and Oversight"
"Ministry of Education Redbook Support","2014-07-16 - 2015-07-15","Maternal and Child Health, Family Planning"
"USAID Title II Program","","Developmental Food Aid/Food Security Assistance"
"USAID/OFDA COOP FOR URBAN SEARCH & RESCUE","2015-03-01 - 2021-02-28","Emergency Response"
"Nepal Earthquake Recovery.","2015-07-01 - 2016-05-31","Emergency Response"
"USAIDs Nepal Hydropower Development Project","2015-07-09 - 2020-08-31","Business and Other Services"
"Nepal Earthquake response - IDA Award","2015-04-29 - 2015-07-28","Emergency Response"
"Sustainable Action For Resilience And Food Security (Sabal)","2014-10-17 - 2020-02-29","Maternal and Child Health, Family Planning"
"UNICEF MCH Umbrella Grant","2007-09-28 - 2021-09-30","Maternal and Child Health, Family Planning"
"U.S. Forest Service Interagency Agreement","2007-04-01 - 2018-04-01","General Environmental Protection"
"Global Health and Food Security in Nepal","","Maternal and Child Health, Family Planning"
"Closing The Child Labor And Forced Labor Evidence Gap: Impact Evaluations","2014-12-15 - 2019-12-14","Other Social Infrastructure and Services"
"U.S. Peace Corps Other Development Activities","","HIV/AIDS"
"Feed the Future Innovation Lab for Collaborative Research on Nutrition in Africa","2010-10-04 - 2021-10-03","Maternal and Child Health, Family Planning"
"Sustainable Action For Resilience And Food Security (Sabal)","2014-10-17 - 2020-02-29","General Environmental Protection"
"Promoting Agriculture, Health, and Alternative Livelihoods (PAHAL)","2014-10-17 - 2020-01-31","General Environmental Protection"
"CGIAR Fund grant with the World Bank.","2011-09-30 - 2017-09-30","Trade Policy and Regulations"
"CGIAR Fund grant with the World Bank.","2011-09-30 - 2017-09-30","Business and Other Services"
"Public International Organization (PIO) Grant to World Bank Multi-Donor Trust Fund","","Basic Education"
"Combating Trafficking In Persons (CTIP)","2010-08-13 - 2017-06-30","Emergency Response"
"To Fund A Shelter Repair and Reconstruction Program Benefitting Tibetan Refugees Affected By the Earthquake in Nepal.","","Emergency Response"
"AKSE (Aksyon Kolektif pou Sekirite kont Eksplwatasyon - Health Policy Project)","2010-09-30 - 2016-03-30","Maternal and Child Health, Family Planning"
"Sajhedari (Partnership for Local Development)","2012-12-01 - 2018-05-31","Agriculture"
"Structural Assessment and Restoration of Structures in Kathmandu Durbar Square Affected by the April 2015 Nepal Earthquake","2015-09-01 - 2017-07-31","General Environmental Protection"
"Strengthening Health Outcomes through Private Sector (SHOPS)","2009-09-30 - 2016-01-31","Maternal and Child Health, Family Planning"
"DRG Learning, Evaluation, and Research (DRG-LER) Activity","2013-10-01 - 2022-09-30","Maternal and Child Health, Family Planning"
"SPPM- Feedback M&E - MOBIS 5","2012-05-07 - 2017-06-05","Agriculture"
"Refugee Assistance Activities","","Emergency Response"
"Structural Assessment and Restoration of the South Tajelu Temple and Other Structures at Patan Royal Palace Affected by the April 2015 Nepal Earthquake","2015-09-01 - 2017-07-31","General Environmental Protection"
"Ghar Ghar Maa Swastha/Health Homes","2010-08-06 - 2015-08-05","HIV/AIDS"
"SPPM- Feedback M&E - MOBIS 5","2012-05-07 - 2017-06-05","Maternal and Child Health, Family Planning"
"Assets and Market Access Innovation Lab (AMA)","2012-04-20 - 2018-09-30","Agriculture"
"Global Health and Food Security in Nepal","","Basic Education"
"Trilateral Transborder Wildlife Interception (TTWI )","2015-08-07 - 2017-09-30","General Environmental Protection"
"Administrative, Technical, and Support Staff Services to the Bureaus of Asia and Legislative and Public Affairs","2015-05-29 - 2020-05-28","Agriculture"
"International Organization for Migration to Fund A Tuberculosis (Tb) Program Benefitting Bhutanese Refugees in Nepal","","Emergency Response"
"Strengthening community engagement to promote human-elephant co-existence in Bardia National Park, Nepal","2015-05-07 - 2016-06-30","General Environmental Protection"
"Scaling up tiger conservation initiatives among traditional hunting communities in the northern buffer zone of Bardia National Park, Nepal","2015-07-28 - 2017-09-30","General Environmental Protection"
"Community-based human-elephant conflict management in the Chitwan-Parsa complex, Nepal","2015-05-07 - 2016-06-30","General Environmental Protection"
"Strengthening local capacity for human-tiger conflict management in Chitwan National Park, Nepal","2015-08-04 - 2017-09-30","General Environmental Protection"
"CSO Sustainability Index for Sub-Saharan Africa","2010-08-02 - 2017-12-31","Government and Civil Society"
"USAID Equipment, Lands, and Structures","","Maternal and Child Health, Family Planning"
"Protect tigers and other endangered wildlife by building Nepal Police's capacity to address wildlife crime.","2015-07-28 - 2017-09-30","General Environmental Protection"
"Business Literacy - Nepal","2014-03-01 - 2017-02-28","Basic Education"
"Mitigating human-tiger conflict engaging local community in Parsa Wildlife Reserve, Nepal","2015-07-28 - 2017-09-30","General Environmental Protection"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Basic Education"
"Measure Evaluation IV","2014-07-01 - 2020-11-30","Agriculture"
"National Endowment for Democracy Grant - Political Processes","","Government and Civil Society"
"Bureau of Diplomatic Security - ATA 11310 NEPAL RBPO SRF 0003","","Government and Civil Society"
"OFDA Institutional Support Contract IQC - Task Order 16 to support Office of Civilian Response (OCR)","2006-08-21 - 2016-12-31","Emergency Response"
"OFDA Institutional Support Contract IQC - Task Order 15 Office of Civilian Response (OCR)","2006-08-21 - 2016-12-31","Emergency Response"
"Bureau of Diplomatic Security - ATA 11310 NEPAL RBPO SRF 0007","","Government and Civil Society"
"Bureau of Diplomatic Security - ATA 11310 NEPAL RBPO SRF 0006","","Government and Civil Society"
"Bureau of Diplomatic Security - ATA 11310 NEPAL RBPO SRF 0002","","Government and Civil Society"
"USAID Equipment, Lands, and Structures","","Agriculture"
"USAIDs Early Grade Reading Program in Nepal (EGRP)","2015-03-02 - 2020-10-31","Conflict, Peace, and Security"
"Bureau of Diplomatic Security - Stipended for 24 participants of Interdicitng","","Government and Civil Society"
"Bureau of Diplomatic Security - Stipended for 24 participants of Crisis Management","","Government and Civil Society"
"Bureau of Diplomatic Security - Police Stipend for 24 partipicents for QCCAS cour","","Government and Civil Society"
"Bureau of Diplomatic Security - Police Stipend for 24 partipicents for FDR course","","Government and Civil Society"
"Bureau of Diplomatic Security - Stipend for 24 partipicents for ATDE course","","Government and Civil Society"
"USAID Pay and Benefits","","Business and Other Services"
"IT and Telecommunications Network Management","2013-01-01 - 2017-12-31","Operating Expenses"
"USAID/Nepal Monitoring Evaluation and Learning - MEL","2015-04-15 - 2020-11-14","Conflict, Peace, and Security"
"Bureau of Diplomatic Security - PR4117143/M0408/Natraj Tours & Travels (P) Ltd.","","Government and Civil Society"
"Bureau of Diplomatic Security - PR4007030/M0257/Shangrila Photo Pvt. Ltd","","Government and Civil Society"
"Bureau of Diplomatic Security - PR3931796/M0147/Vajra Transport","","Government and Civil Society"
"Bureau of Diplomatic Security - PR3586144/M0968/Sangrila Photo","","Government and Civil Society"
"Bureau of Diplomatic Security - PR3518343/M0822/Sangrila","","Government and Civil Society"
"Bureau of Diplomatic Security - PR3676539/M1142/Sangrila Photo","","Government and Civil Society"
"Bureau of Diplomatic Security - PR3855371/M0043/Vajra Transport","","Government and Civil Society"
"Bureau of Diplomatic Security - PR3931811/M0139/Sangrila photo","","Government and Civil Society"
"Bureau of Diplomatic Security - PR3855392/M0042/Sangrila Photo","","Government and Civil Society"
"Bureau of Diplomatic Security - PR3586137/M0970/Vajra Transport","","Government and Civil Society"
"Bureau of Diplomatic Security - PR3987282/M0252/Shangrila Photo Pvt. Ltd.","","Government and Civil Society"
"Bureau of Diplomatic Security - Memo-9/3/14/Stipend for IDII course","","Government and Civil Society"
"Bureau of Diplomatic Security - PR3676525/M1144/Vajra Transport","","Government and Civil Society"
"Administrative costs","2014-01-27 - 2018-09-30","Administration and Oversight"
"Bureau of Diplomatic Security - PR3987297/M0213/Natraj Tours & Travels (P) Ltd.","","Government and Civil Society"
"Bureau of Diplomatic Security - Police Stipend for 24 partipicents for QCCAS cour","","Government and Civil Society"
"Bureau of Diplomatic Security - Police Stipend for 24 partipicents for FDR course","","Government and Civil Society"
"Bureau of Diplomatic Security - PR3518220/M0820/National Police","","Government and Civil Society"
"Bureau of Diplomatic Security - PR4007044/M0256/Natraj Tours & Travels (P) Ltd.","","Government and Civil Society"
"Bureau of Diplomatic Security - PR3518246/M0823/Vajra Transport","","Government and Civil Society"
"Bureau of Diplomatic Security - PR4007062/Puspanjali Restaurant/Food for CMED","","Government and Civil Society"
"Bureau of Diplomatic Security - PR3676534/M1143/National Police","","Government and Civil Society"
"Bureau of Diplomatic Security - Stipend for 24 partipicents for ATDE course","","Government and Civil Society"
"Bureau of Diplomatic Security - Stipended for 24 participants of Crisis Management","","Government and Civil Society"
"Bureau of Diplomatic Security - Stipended for 24 participants of Interdicitng","","Government and Civil Society"
"Bureau of Diplomatic Security - PR3586071/M0973/National Police","","Government and Civil Society"
"Bureau of Diplomatic Security - PR4117092/M0407/Natraj Tours & Travels (P) Ltd.","","Government and Civil Society"
"Bureau of Diplomatic Security - Memo-7/31/2014/Stipend for CBRN","","Government and Civil Society"
"USAID Advisory and Assistance Services","","Program Design and Learning"
"Ministry of Health and Population Implementation Letter - As Health Sector Program Implement Plan 2010-2015","2011-07-17 - 2012-07-16","Maternal and Child Health, Family Planning"
"Bureau of Diplomatic Security - GATA Nepal DECO","","Government and Civil Society"
"FY 2010 ASHA Award - Himalayan Cataract Project, Tilganga Eye Center","2010-09-11 - 2013-06-30","Basic Health"
"Bureau of Diplomatic Security - GATA DECO Nepal OPTION YR 1","","Government and Civil Society"
"Nepal Economic Agriculture and Trade (NEAT)","","Agriculture"
"Bureau of Diplomatic Security - GATA Nepal DECO","","Government and Civil Society"
"Nepal Emergency Food and Shelter Program (EFSP) - 2014 Award","2013-11-12 - 2014-12-31","Emergency Response"
"International Narcotics Control and Law Enforcement: Country Program","","Government and Civil Society"
"Administrative costs","2014-01-27 - 2018-09-30","Operating Expenses"
"Clean Productive Environment","","General Environmental Protection"
"Suaahara - Integrated Nutrition Program (INP)","2011-08-30 - 2016-10-28","Water Supply and Sanitation"
"FY 2014 ASHA Award - American Leprosy Missions","2014-10-01 - 2018-09-30","Basic Health"
"FY 2013 ASHA Award - Himalayan Cataract Project, Hetuada Community Eye Hospital","2014-04-03 - 2018-12-31","Basic Health"
"U.S. Peace Corps Other Development Activities","","Other Social Infrastructure and Services"
"U.S. Peace Corps Other Development Activities","","Basic Health"
"Department of Energy, Office of Global Nuclear Material Threat Reduction (NA-212)","2013-10-01 - 2014-09-30","Conflict, Peace, and Security"
"U.S. Census Bureau Participating Agency Program Agreement (PAPA)","2008-03-31 - 2017-09-30","Maternal and Child Health, Family Planning"
"National Endowment for Democracy Grant - Rule of Law","","Government and Civil Society"
"MEASURE Evaluation Phase III","2008-08-15 - 2015-02-14","Maternal and Child Health, Family Planning"
"UNICEF MCH Umbrella Grant","2007-09-28 - 2021-09-30","Basic Health"
"Conservation of the 17th-19th-Century Hanuman Dhoka Durbar (Palace) in Kathmandu","2014-09-11 - 2015-09-14","General Environmental Protection"
"USAID Advisory and Assistance Services","","Conflict, Peace, and Security"
"USAID/Liberia Program Design and Learning - technical consultants","2013-10-01 - 2016-03-31","Maternal and Child Health, Family Planning"
"International Organization for Migration Tb Harmonization","","Emergency Response"
"Assist USAID/Nepal prepare a PMP for its CDCS","","Program Design and Learning"
"Rhino & Tiger Conservation Fund","2014-07-18 - 2016-09-30","General Environmental Protection"
"USAID Advisory and Assistance Services","","HIV/AIDS"
"President's Emergency Plan for AIDS Relief - F Operational Plan Programs","","HIV/AIDS"
"Rhino & Tiger Conservation Fund","2014-07-21 - 2016-09-30","General Environmental Protection"
"Conservation of the 17th-Century South Taleju Temple of Patan Royal Palace","2014-09-11 - 2015-09-14","General Environmental Protection"
"Asian Elephant Conservation Fund","2014-05-29 - 2016-06-30","General Environmental Protection"
"Asian Elephant Conservation Fund","2014-05-28 - 2016-06-30","General Environmental Protection"
"USAID/Liberia Program Design and Learning - technical consultants","2013-10-01 - 2016-03-31","Other Multisector"
"USAID/Liberia Program Design and Learning - technical consultants","2013-10-01 - 2016-03-31","HIV/AIDS"
"Advancing Partners and Community-based Family Planning","2012-10-01 - 2019-09-30","Maternal and Child Health, Family Planning"
"KTM Taft Fund to the Forum for Protection of People's Rights Nepal (PPR Nepal)","","Emergency Response"
"Wildife Without Borders-Critically Endangered Animals","2014-08-22 - 2015-09-30","General Environmental Protection"
"International Narcotics Control and Law Enforcement: Program Development and Support","","Government and Civil Society"
"USAID Advisory and Assistance Services","","Basic Education"
"Asian Elephant Postal Fund","2014-05-28 - 2016-06-30","General Environmental Protection"
"Ministry of Health and Population Implementation Letter - As Redbook Support to DOH for NFY 69/70","2012-07-17 - 2013-07-16","Maternal and Child Health, Family Planning"
"DRG Learning, Evaluation, and Research (DRG-LER) Activity","2013-10-01 - 2022-09-30","Conflict, Peace, and Security"
"Global Health Support Initiative II (GHSI II)","2010-06-17 - 2017-10-01","Agriculture"
"Natural Resources and Biodiversity","","General Environmental Protection"
"USAID Equipment, Lands, and Structures","","HIV/AIDS"
"IT and Telecommunications Network Management","2013-01-01 - 2017-12-31","Administration and Oversight"
"OFDA/CRIT NEEDS MET OF TARGETED VULNERABLE GRPS IN EMRGNCIES","","Emergency Response"
"Ministry of Health and Population Implementation Letter - Health Program Activities","2010-07-17 - 2011-07-16","Maternal and Child Health, Family Planning"
"Nepal Biodiversity and Tropical Forestry Analysis","","General Environmental Protection"
"STRENGTHENED GOVERNANCE OF NATURAL RESOURCES & SELECTED INST","","General Environmental Protection"
"Political Parties","","Government and Civil Society"
"Democracy And Governance Program","","Government and Civil Society"
"Mitigation","","Other Multisector"
"Consensus-Building Processes","","Government and Civil Society"
"Transport Services","","Transport and Storage"
"USAID/Nepal Flood Recovery program","2008-05-20 - 2012-08-31","Agriculture"
"Ministry of Health and Population Implementation Letter - Food Security Program Activities","2010-07-17 - 2013-07-16","Agriculture"
"Education for Income Generation","2008-01-03 - 2013-01-03","Basic Education"
"Knowledge-based Integrated Sustainable Agriculture","2013-02-14 - 2017-08-13","Basic Health"
"McGovern-Dole Program","2013-04-05 - 2017-09-30","Basic Education"
"Nepal Resettlement Support Center, Op.0003","","Emergency Response"
"USAID Title II Emergency Program","","Emergency Response"
"Nepal Economic Agriculture and Trade (NEAT)","","Business and Other Services"
"Nepal Resettlement Support Center Op.0003","","Emergency Response"
"Department of Energy, Office of Global Nuclear Material Threat Reduction (NA-212)","2012-10-01 - 2013-09-30","Conflict, Peace, and Security"
"Strengthening Rehabilitation in District Environs (STRIDE)","2010-01-29 - 2019-01-28","Conflict, Peace, and Security"
"Elimination of Exploitive Child Labor Program","2009-09-30 - 2013-04-30","Other Social Infrastructure and Services"
"Nepal Economic Agriculture and Trade (NEAT)","","Trade Policy and Regulations"
"Export Control and Related Border Security Assistance, Container Control Programme","","Government and Civil Society"
"Nepal Economic Agriculture and Trade (NEAT)","","Government and Civil Society"
"Ministry of Health and Population Implementation Letter - as Support to NPTI","2012-10-09 - 2014-09-30","Government and Civil Society"
"Improvement of Living Conditions of Displaced People in Nepal","","Emergency Response"
"SPPM- BFS-USDA/FAS PASA","2013-10-01 - 2023-09-30","Agriculture"
"DELIVER Project (Deliver II) Task Order 4","2006-09-29 - 2018-09-26","Maternal and Child Health, Family Planning"
"Learning Evaluations Analysis Project (LEAP)","2011-09-30 - 2014-09-29","Agriculture"
"Administrative costs","2006-10-01 - 2021-09-30","Administration and Oversight"
"Technical Leadership in Public Financial Management","2007-03-01 - 2014-08-31","Maternal and Child Health, Family Planning"
"Ministry of Health and Population Implementation Letter - as Support to NPTI","2012-10-09 - 2014-09-30","Conflict, Peace, and Security"
"MEASURE Evaluation Phase III","2008-08-15 - 2015-02-14","HIV/AIDS"
"MEASURE Evaluation Phase III","2008-08-15 - 2015-02-14","Agriculture"
"Export Control and Related Border Security Assistance, Senior Policy Exchange - Nepal","","Government and Civil Society"
"Preservation of the 11th-Century Richenling Monastery in Halji","2013-09-01 - 2014-08-31","General Environmental Protection"
"Export Control and Related Border Security Assistance, SCA Industry Outreach","","Government and Civil Society"
"Nepal: Harmonization of Protocol for Tuberculosis Diagnosis and Treatment in Bhutanese Refugee Camps","","Emergency Response"
"Rhino & Tiger Conservation Fund","2013-08-12 - 2015-09-30","General Environmental Protection"
"Rhino & Tiger Conservation Fund","2013-08-07 - 2015-09-30","General Environmental Protection"
"Conservation of Ethnographic Objects at Changu Narayan","2013-09-01 - 2014-08-31","General Environmental Protection"
"Allotment to Embassy Kathmandu for Sober Recovery Treatment and Rehabilitation Center (SRTRC) and Don Bosco to benefit Tibetan refugees","","Emergency Response"
"E3 Blanket Purchase Agreement (BPA)","2011-09-30 - 2014-09-29","Conflict, Peace, and Security"
"DOD HIV/AIDS Prevention Program (DHAPP) - F Operational Plan Programs","","HIV/AIDS"
"Technical Assistance for Nepal - Banking and Financial Services","","Banking and Financial Services"
"Technical Leadership in Public Financial Management","2007-03-01 - 2014-08-31","Government and Civil Society"
"Learning Evaluations Analysis Project (LEAP)","2011-09-30 - 2014-09-29","Other Multisector"
"Export Control and Related Border Security Assistance, WCO - Letter Grant","","Trade Policy and Regulations"
"Export Control and Related Border Security Assistance, Conference Support","","Government and Civil Society"
"Export Control and Related Border Security Assistance, Travel Costs","","Government and Civil Society"
"Global Health Fellows Program II (GHFP-II)","2011-10-01 - 2019-06-30","Maternal and Child Health, Family Planning"
"Export Control and Related Border Security Assistance, Nepal Assessment Logistics Support","","Government and Civil Society"
"Export Control and Related Border Security Assistance, Nepal Assessment Logistics Support - plus-up","","Government and Civil Society"
"Monitoring Nepals Peace and Constitution Drafting Process","2009-09-03 - 2014-06-30","Government and Civil Society"
"OFDA/Disaster Response","","Emergency Response"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Government and Civil Society"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Transport and Storage"
"Liberia Focus on Results: Enhancing Capacity across Sectors in Transition (FORECAST)","2002-04-03 - 2011-06-17","Government and Civil Society"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Business and Other Services"
"USAID Miscellaneous Goods, Services, and Operations Maintanence","","Basic Health"
"USAID Communications, Utilities, and Rental Payments","","Disaster Prevention and Preparedness"
"USAID Miscellaneous Goods, Services, and Operations Maintanence","","Disaster Prevention and Preparedness"
"OFDA/Prevention- Mitigation- Preparedness + Planning","","Emergency Response"
"OFDA-D20081726-Preparedness/Vulnerable and IDP Protection-Grant to The Asia Foundation for Protection Activities","2008-09-01 - 2009-08-31","Emergency Response"
"Addressing Child Marriage in Nepal through Behavior Change Communication and Social Mobilization","2008-09-30 - 2011-09-29","Government and Civil Society"
"Enhance Stability and Security","","Conflict, Peace, and Security"
"Administrative costs","","Operating Expenses"
"Resettlement Support Center, Nepal, Op.0003","","Emergency Response"
"Commodity Cost of Food Aid under Food For Education Program","","Basic Education"
"ITSH Freight Cost of USAID Title II Food Aid for Other Emergency","","Emergency Response"
"Commodity Cost of USAID Title II Food Aid for Other Emergency","","Emergency Response"
"Resettlement Support Center Nepal, Op.0003","","Emergency Response"
"Medical Screening Nepal, Mh.0044","","Emergency Response"
"Anti-Terrorism Training","","Government and Civil Society"
"Commodity Cost of USAID Title II Food Aid for Sri Lank Prepositioning of Food Aid","","Emergency Response"
"MEASURE Phase III, Demographic and Health Surveys (DHS)","2008-09-30 - 2014-09-29","Maternal and Child Health, Family Planning"
"Section 202e Cost of USAID Title II Food Aid for Section 202e: Section of USAID's P.L. 480 authorizing funds to support Title II activities","","Emergency Response"
"National Endowment for Democracy Grant","","Government and Civil Society"
"Child Survival and Health Grants Program (CSHGP) - HealthRight International (Nepal)","2009-09-30 - 2013-09-29","Maternal and Child Health, Family Planning"
"ITSH Freight Cost of USAID Title II Food Aid for Direct Support Cost","","Emergency Response"
"Ocean Freight of USAID Title II Food Aid for Other Emergency","","Emergency Response"
"Administrative costs","2001-10-01 - 2017-10-08","Operating Expenses"
"Commodity Cost of USAID Title II Food Aid for Jacinto Prepositioning of Food Aid","","Emergency Response"
"Department of Energy, Office of Global Nuclear Material Threat Reduction (NA-212)","2011-10-01 - 2012-09-30","Conflict, Peace, and Security"
"ITSH Freight Cost of USAID Title II Food Aid for Other Direct Costs","","Emergency Response"
"Inland Freight Cost of USAID Title II Food Aid for Other Emergency","","Emergency Response"
"Initial Contribution Towards United Nations High Commissioner for Refugees (UNHCR)'s Annual Budget - Nepal Trc","","Emergency Response"
"Freight Cost of Food Aid under Food For Education Program","","Basic Education"
"Restoration of the 17th- and 18th-Century Patan Royal Palace, Phase 2","2014-03-31 - 2014-03-31","General Environmental Protection"
"Ocean Freight of USAID Title II Food Aid for Sri Lank Prepositioning of Food Aid","","Emergency Response"
"ITSH Freight Cost of USAID Title II Food Aid for Jacinto Prepositioning of Food Aid","","Emergency Response"
"Administrative costs","2001-10-01 - 2017-10-08","Administration and Oversight"
"To Human Rights Organization Of Nepal (Huron) For Border Monitoring And Ensuring That The Rights Of Refugees And Asylum Seekers Are Protected And Documented.","","Emergency Response"
"Technical Assistance for Banking and Financial Services","","Banking and Financial Services"
"U.S. Census Bureau Participating Agency Program Agreement (PAPA)","2008-03-31 - 2017-09-30","Basic Education"
"U.S. Census Bureau Participating Agency Program Agreement (PAPA)","2008-03-31 - 2017-09-30","Program Design and Learning"
"Inland Freight Cost of USAID Title II Food Aid for Sri Lank Prepositioning of Food Aid","","Emergency Response"
"Ocean Freight of USAID Title II Food Aid for Jacinto Prepositioning of Food Aid","","Emergency Response"
"Documentation of the 17th-Century Kartik Nach","2014-01-20 - 2014-01-20","Other Social Infrastructure and Services"
"International Organization for Migration Program For Bhutanese Refugees","","Emergency Response"
"Program Design and Learning (Conflict)","","Conflict, Peace, and Security"
"Asian Elephant Conserv-Species Conservation Grant","2012-06-15 - 2014-06-15","General Environmental Protection"
"Rhinoceros & Tiger Conservation-Species Conservation Grant","2012-04-30 - 2014-04-30","General Environmental Protection"
"Cost Extension Of Lwf Assistance To Tibetan Refugees In Nepal","","Emergency Response"
"Rhinoceros & Tiger Conservation-Species Conservation Grant","2012-04-15 - 2014-04-30","General Environmental Protection"
"Rhinoceros & Tiger Conservation-Species Conservation Grant","2012-08-14 - 2014-08-31","General Environmental Protection"
"MEASURE Phase III, Demographic and Health Surveys (DHS)","2008-09-30 - 2014-09-29","Basic Health"
"Asian Elephant Postal Grant-Species Conservation Grant","2012-09-03 - 2014-09-03","General Environmental Protection"
"Asian Elephant Conserv-Species Conservation Grant","2012-05-16 - 2014-05-16","General Environmental Protection"
"Nepal Family Health Program II","2007-12-19 - 2012-11-14","Basic Health"
"Global Health Fellows Program II (GHFP-II)","2011-10-01 - 2019-06-30","HIV/AIDS"
"Inland Freight Cost of USAID Title II Food Aid for Jacinto Prepositioning of Food Aid","","Emergency Response"
"Allotment to Embassy Kathmandu for the Pro Public and the Himalayan Society for Youth and Women Empowerment (HSYWE) to enable both NGOs to expand their outreach and support to the urban and Tibetan refugee communities in Nepal, respectively.","","Emergency Response"
"DELIVER Project (Deliver II) Task Order 4","2006-09-29 - 2018-09-26","HIV/AIDS"
"Critically Endangered Animals-International Grants","2012-08-31 - 2013-11-30","General Environmental Protection"
"ITSH Freight Cost of USAID Title II Food Aid for Sri Lank Prepositioning of Food Aid","","Emergency Response"
"Nepal Biodiversity and Tropical Forestry Analysis","","Agriculture"
"Program Design and Learning (Political Competition)","","Government and Civil Society"
"Health Program","","Basic Health"
"Avian Influenza","","Basic Health"
"American Association for the Advancement of Science Fellow","2006-08-31 - 2016-08-31","Agriculture"
"Nepal Biodiversity and Tropical Forestry Analysis","","Maternal and Child Health, Family Planning"
"Program Support (Protection)","","Emergency Response"
"Administrative costs","2001-10-01 - 2017-10-08","Program Design and Learning"
"Administration and Oversight (Infrastructure)","","Transport and Storage"
"Administration and Oversight (Econ Opportunity)","","Business and Other Services"
"Administration and Oversight (Political Competition)","","Government and Civil Society"
"American Association for the Advancement of Science Fellow","2006-08-31 - 2016-08-31","Other Multisector"
"Conflict Program","","Conflict, Peace, and Security"
"Program Support (Conflict)","","Conflict, Peace, and Security"
"Program Support","","Program Design and Learning"
"Program Support","2009-09-25 - 2016-05-07","Operating Expenses"
"Program Support (Civil Society)","","Government and Civil Society"
"American Association for the Advancement of Science Fellow","2006-08-31 - 2016-08-31","Conflict, Peace, and Security"
"Program Support (Agriculture)","","Agriculture"
"Program Support (Rule of Law)","","Government and Civil Society"
"HIV/AIDS","","HIV/AIDS"
"Administration and Oversight (Conflict)","","Conflict, Peace, and Security"
"Administration and Oversight (Environment)","","General Environmental Protection"
"OTI/PEACE & DEMOCRACY ADVNCD IN KEY CONFLICT-PRONE COUNTRIES","","Conflict, Peace, and Security"
"Justice System","","Government and Civil Society"
"Nepal Government Citizen Partnership Project (NGCPP)","2008-11-25 - 2010-11-24","Conflict, Peace, and Security"
"ASHA","2006-06-29 - 2011-09-30","HIV/AIDS"
"CDC: Global Health Programs (Polio Eradication)","","Basic Health"
"Medical Screening, Nepal, MH.0044","","Emergency Response"
"Nepal Overseas Processing Entities, OP.0003","","Emergency Response"
"Nepal Economic Agriculture and Trade (NEAT)","","Banking and Financial Services"
"Hariyo Ban","2011-08-26 - 2016-12-31","Government and Civil Society"
"DOD - International Military Education & Training (IMET) Program/Deliveries","","Conflict, Peace, and Security"
"Consultative Group on International Agricultural Research (CGIAR) - International Agricultural Research Centers","2004-09-30 - 2016-10-30","Agriculture"
"Education for Income Generation","2008-01-03 - 2013-01-03","Agriculture"
"Anti-Terrorism Assistance","","Government and Civil Society"
"Nepal Resettlement Support Center, OP.0003","","Emergency Response"
"Overseas Processing Entities Kathmandu, OP.0003","","Emergency Response"
"Education for Income Generation","2008-01-03 - 2013-01-03","Conflict, Peace, and Security"
