Name of the Project,Link to the project,Procurement Details,Link to the Procurement,Date of Publishment
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Procurement of Office Furniture,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00175304,"April 17, 2022"
Strengthening Systems for Social Protection and Civil Registration Project - P154548,http://projects.worldbank.org/en/projects-operations/project-detail/P154548,Hiring a Firm to conduct Business Process Review and Institutional Assessment of Service Unit.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00174474,"April 13, 2022"
Nurturing Excellence in Higher Education Program for Results - P171516,http://projects.worldbank.org/en/projects-operations/project-detail/P171516,Procurement of  works for UGC building Coloring,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00174605,"April 13, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Selection of Consultant for review of Detailed Feasibility Study (DFS) Reports including Detailed Engineering Designs (DED) of Amadablam Mini Hydro Subproject and Monjo Khola Mini Hydro Subproject,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00174371,"April 12, 2022"
Strengthening Systems for Social Protection and Civil Registration Project - P154548,http://projects.worldbank.org/en/projects-operations/project-detail/P154548,"A local firm to manage media houses (national radio, tv, etc.) for dissemination of communication and outreach material",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00173983,"April 8, 2022"
Youth Employment Transformation Initiative Project - P160696,http://projects.worldbank.org/en/projects-operations/project-detail/P160696,Mid-term Evaluation of Prime Minister Employment Programme (PMEP) and Youth Employment Transformation Initiative (YETI) Project,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00173650,"April 6, 2022"
Nurturing Excellence in Higher Education Program for Results - P171516,http://projects.worldbank.org/en/projects-operations/project-detail/P171516,"Procurement of Office Equipment (Laptops, Desktop and Printers etc.)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00173429,"April 5, 2022"
Nurturing Excellence in Higher Education Program for Results - P171516,http://projects.worldbank.org/en/projects-operations/project-detail/P171516,"Procurement Of Furniture, Furnishing and Fixtures",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00173431,"April 5, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Recruitment of Procurement Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00173496,"April 5, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance  of Harre-Chhinchu(km 74.000 to 80.600 of NH58_007),Bangesimal-Baddichaur(km112.990 to km140.100 of NH58_010), Kalakholagaun-Sain(km 165.990-174.990 of NH 58_012), Surkhet Division, DOR",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00173280,"April 4, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Hiring of occupational Health and safety specialist for PCO,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00172674,"March 30, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Hiring of Social Development Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00172675,"March 30, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Hiring environment safeguard specialist for PCO,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00172676,"March 30, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Hiring of Trade Development Advisor,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00172677,"March 30, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance of Bindebasini-Yamdi bridge F04202, Waling-Syangja NH47-010, Syangja-Kubinde NH47-011, Syangja-Kubinde NH47-011, Pokhara municipality boundary-Prithvichok NH47-013, Pokhara Division, DOR",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00172528,"March 29, 2022"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of RT PCR Kits 600000 Pcs,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00172215,"March 28, 2022"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of RNA Extraction Kit Manual 90,000 pcs",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00172225,"March 28, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Recruitment of Technical Assistance Firm,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00171728,"March 24, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,"License Renewal of Sophos Firewall, Antivirus and Barracuda Email Security Gateway",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00171280,"March 22, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Four Wheeler- No. 2 for ECO Dadeldhura,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00171014,"March 20, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Four Wheeler- No. 2 for ECO Dadeldhura,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00171015,"March 20, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Four Wheeler- No. 2 for ECO Dadeldhura,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00171016,"March 20, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Procurement of Individual Consultant ; Environmental Safeguard Consultant,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00170858,"March 18, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of Scooter- 2 Nos. (150 CC) for ECO Office,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00170867,"March 18, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Procurement and Installation of Air Conditioner (No. 3) for ECO Office,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00170497,"March 16, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Procurement of FMD Vaccines,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00170500,"March 16, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of 5 Motorcycles (150 CC or More) for ECO Office,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00170556,"March 16, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Purchase of 5 Motorcycles (150 CC or More) for ECO Office,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00170558,"March 16, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Procurement of Medicine for Parasite Control in Chyangra and Goat, DLSU, Pokhara",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00167522,"March 15, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Furniture and Furnishing for ECO Office, Dadeldhura",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00170301,"March 15, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Furniture and Furnishing for ECO Office, Dadeldhura",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00170302,"March 15, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Furniture and Furnishing for ECO Office, Dadeldhura",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00170303,"March 15, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Furniture and Furnishing for ECO Office, Dadeldhura",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00170305,"March 15, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Purchase of Tablets (3 No.s), Desktop Computers (8 No.s), Laptop (6 No.s), Printer 3 in 1 (8 No.s) for ECO Office",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00170326,"March 15, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Purchase of Tablets (3 No.s), Desktop Computers (8 No.s), Laptop (6 No.s), Printer 3 in 1 (8 No.s) for ECO Office",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00170327,"March 15, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Purchase of Tablets (3 No.s), Desktop Computers (8 No.s), Laptop (6 No.s), Printer 3 in 1 (8 No.s) for ECO Office",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00170328,"March 15, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,"Supply and Installation of Server, Related Appliance and Software",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00170341,"March 15, 2022"
Strengthening Systems for Social Protection and Civil Registration Project - P154548,http://projects.worldbank.org/en/projects-operations/project-detail/P154548,Hiring a Firm for Disbursement Linked Indicator (DLI) verification agent (Third Party Verification),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00170419,"March 15, 2022"
Second Bridges Improvement and Maintenance Program - P161929,http://projects.worldbank.org/en/projects-operations/project-detail/P161929,Feasibility Study for the Upgradation of Gorusinghe-Gaddachauki Section of East West Highway (Mahendra Highway and Detailed Design of Priority sub-section,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00167077,"March 10, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Procurement of office stationary.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00169800,"March 10, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,"Procurement of Laptop, Desktop computer and printer to support collecting, analyzing and operation of National forest data management in ER program districts Package-1",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00169635,"March 9, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Procurement of Motorcycle to strengthen ER program districts Package-1,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00169645,"March 9, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Procurement of Scooters to strengthen ER program districts Package-2,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00169649,"March 9, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,"Procurement of Laptop computer, Multi functional adapter, Interactive LED panel set, Webcam, Camera, Desk top computer, Printer & photocopy machine for IT Excellence Centre and  AG's/DAG's & AAG's for conducting virtual meetings.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00169456,"March 8, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,"Procurement of Computer, Laptop and other IT Equipment's",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00169133,"March 7, 2022"
Youth Employment Transformation Initiative Project - P160696,http://projects.worldbank.org/en/projects-operations/project-detail/P160696,Procurement of One Pickup Vehicle (Four Wheeler) for Field Visit,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00169072,"March 6, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance  of Hilepani-Harkapur (km 466.34 to 473.34 of  NH03_017), Hilepani-Okhaldhunga (km 102.13 to 116.33 of NH20_006), Okhaldhunga-Mudhebisana-Salleri (km 137.330 to 195.04 of of  NH20_007 and 008), Harkapur Division DoR.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00169099,"March 6, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,"Procurement of Enterprise Database and its License with Security Features for LMBIS, PLMBIS",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00169102,"March 6, 2022"
Youth Employment Transformation Initiative Project - P160696,http://projects.worldbank.org/en/projects-operations/project-detail/P160696,Procurement of 3 Motorcycles for Project,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00168832,"March 4, 2022"
Youth Employment Transformation Initiative Project - P160696,http://projects.worldbank.org/en/projects-operations/project-detail/P160696,Procurement of Server to support and to maintain DR Site for EMIS in Hetauda,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00168373,"March 2, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Program Management Consultant for Periodic Maintenance,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00167917,"February 28, 2022"
Strengthening Systems for Social Protection and Civil Registration Project - P154548,http://projects.worldbank.org/en/projects-operations/project-detail/P154548,Consulting Service for gap analysis of VERSP-MIS System and prepare Improvement plan,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00167965,"February 28, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,"Procurement of  Server Software, installation, networking for NFIS capacity development Package-2",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164002,"February 25, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,"Procurement of scientific equipment for national forest resource assessment and research such as Tomograph, Digital vernier callipar etc. Package-1",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164004,"February 24, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Procurement of scientific equipment for national forest resource assessment and research such differential GPS etc.  Package-2,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164005,"February 24, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Procurement of Height measuring equipment such as Vertex Package-1,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164006,"February 24, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,"Procurement of IT Equipment such as Servers, Server RAC, Storage, Firewall switch, etc. for the Data Recovery site of the MoF (Hetauda).",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00167420,"February 23, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,"Procurement of high ends Enterprise level Laptops, Monitors, and Printer.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00167421,"February 23, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,"Procurement of IT equipment such as Server, Server RAC, Server Visualization (vmware), Computing unit etc for the Data Center Site at MOF",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00167422,"February 23, 2022"
Nurturing Excellence in Higher Education Program for Results - P171516,http://projects.worldbank.org/en/projects-operations/project-detail/P171516,Procurement of  works for UGC building Coloring,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00166757,"February 20, 2022"
Nurturing Excellence in Higher Education Program for Results - P171516,http://projects.worldbank.org/en/projects-operations/project-detail/P171516,Procurement of motorbikes/Scooters,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00166758,"February 20, 2022"
Second Bridges Improvement and Maintenance Program - P161929,http://projects.worldbank.org/en/projects-operations/project-detail/P161929,Design of Major Maintenance/Rehabilitation Works of SRN Bridges,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00166666,"February 18, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Social Development Advisor (SDA) for Planning and Implementation of Social Safeguard Activities as Capacity Enhancement of GESU, DoR",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00166411,"February 17, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Environmental Advisor (EA) for Planning and Implementation of Environmental Safeguard Activities as Capacity Enhancement of GESU, DoR",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00166412,"February 17, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Procurement of Individual Consultant: Technical Advisor for Road Asset and Road Maintenance Management Specialist (National).,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00166143,"February 15, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,"License Renewal of Sophos Firewall, Antivirus and Barracuda Email Security Gateway",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00166029,"February 14, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,"Printing of publicity materials for Result Based Short-term Training Level-1/ Special Migrant Window materials i.e. Training Manuals, Brochures, Posters, Logbook,  etc.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00165269,"February 8, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,"Printing of Training of Voucher Based Short-term Training Materials i.e. Training Manuals, Brochures, Posters, Logbook etc.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00165281,"February 8, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Video production on VBST,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00165290,"February 8, 2022"
Nurturing Excellence in Higher Education Program for Results - P171516,http://projects.worldbank.org/en/projects-operations/project-detail/P171516,Procurement of Individual Consultant for Financial Policy Improvement Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00165053,"February 7, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Selection of Consultant for review of Detailed Feasibility Study (DFS) Reports including Detailed Engineering Designs (DED) of Amadablam Mini Hydro Subproject and Monjo Khola Mini Hydro Subproject,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00158225,"February 6, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Baseline Survey for OJT/Apprenticeship,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164959,"February 6, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,"Printing of Training materials for Remote Window training, Log-book, Learning Diary (OJT), ICT/QIG materials,  Training operation Guidelines, EVENT Project Souvenir Book,  etc.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164965,"February 6, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Procurement of Laptop and Printers for IT Excellence Center,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164826,"February 4, 2022"
Nepal Urban Governance and Infrastructure Project - P163418,http://projects.worldbank.org/en/projects-operations/project-detail/P163418,"Upgradation of Mangalapur - Kanchhibazar Road, Tilottama",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164636,"February 3, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,"Procurement of Tree measuring equipment for emission reduction program districts such as Range finder, Sunto, GPS, D-tape, L-tape etc.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164637,"February 3, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,"Procurement of tools and kits for forest fire control such as fire fighting dress, tools, first-aid kid etc. Package-1",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164639,"February 3, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,Procurement of Back pack pump equipment for forest fire control Package-2,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164640,"February 3, 2022"
Nepal REDD Readiness Preparation Program - P125198,http://projects.worldbank.org/en/projects-operations/project-detail/P125198,"Procurement of Goods and equipment for strengthening of Dendrochronology lab (Tree core scanner, Microscope etc.)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164641,"February 3, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance  of Kadambas-Banstari (km 35.200 to km 55.590 of NH47_005), Palpa Division, DOR.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164625,"February 2, 2022"
Nurturing Excellence in Higher Education Program for Results - P171516,http://projects.worldbank.org/en/projects-operations/project-detail/P171516,Procurement  of consulting service for Independent Verification Agency (IVA),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164268,"February 1, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Procurement of Individual  Engineer for Slope Assessment  Works in Nagdhunaga- Naubise-Mugling Road,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00164091,"January 31, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Procurement of Individual Consultant : Procurement and Contract Management Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00163557,"January 26, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Training and orientation program for economic journalists.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00163361,"January 25, 2022"
Strengthening Systems for Social Protection and Civil Registration Project - P154548,http://projects.worldbank.org/en/projects-operations/project-detail/P154548,Hiring a Firm for Beneficiaries Satisfaction Survey,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00163391,"January 25, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Procurement of Teat Dipping Apparatus with Reagent (DLSU-Biratnagar),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00163109,"January 23, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Procurement of California Mastitis Test Kit and Medicine (DLSU, Biratnagar)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00163110,"January 23, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Procurement of Consulting Services for Development of Training Manual and Conduction of Training for Federal and Provincial PAC Members and Staffs.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00162801,"January 20, 2022"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Procurement of Furniture and Fixtures For, Slice 1: Nepal Veterinary Council, Kathmandu and Slice 2: Veterinary Training Centre, Surkhet, Karnali",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00162646,"January 19, 2022"
Youth Employment Transformation Initiative Project - P160696,http://projects.worldbank.org/en/projects-operations/project-detail/P160696,Procurement of Service Provider (Shree Ram Film and Advertising) for making 25 min. documentary on PMEP Program. WB direct contracting procedures will be followed and detail justifications will be updated.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00161385,"January 10, 2022"
Nepal:  Private Sector-Led Mini-Grid Energy Access Project - P149239,http://projects.worldbank.org/en/projects-operations/project-detail/P149239,Selection of Biodiversity Specialist for the study of Two Subprojects: Dr. Prayag Raj Tamrakar,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00161255,"January 9, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance  of Harre-Chhinchu (km 74.000 to 80.600 of NH58_007), Bangesimal-Baddichaur (km112.990 to km140.100 of NH58_010), Kalakholagaun-Sain (km 165.990-174.990 of NH 58_012), Surkhet Division, DOR.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00160620,"January 4, 2022"
Integrated Public Financial Management Reform Project - P164783,http://projects.worldbank.org/en/projects-operations/project-detail/P164783,Procurement of Laptop & Macbook for NAMS technical team,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00160622,"January 4, 2022"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Purchase of Motorcycles/Scooters - 5 Nos.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00160555,"January 3, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Recruitment of financial management specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00160430,"January 1, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Selection of social safeguard specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00160431,"January 1, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Monitoring and Evaluation of Expert,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00160432,"January 1, 2022"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Selection of Environment Safeguard Expert,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00160433,"January 1, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance  of Sunwal-Parasi-Maheshpur (km 0.000 to km 8.950 of  F009_01,_02), Belhaiya-Siddharthanagar, Butwal Municipality Boundry - Rajmarga Chauraha (km 0.750 to km 4.800, km 22.110 to km24.040 of  NH47_001,_003), Butwal Division, DOR.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00160462,"January 1, 2022"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance  of Duhabi (KRM)-Inarwa (km 0.000 to km 8.000 of F054_01), Bardanga-Urlabari (MRM) (km 0.000 to km 19.35 of F060-01), Mawa-Harichamod (km 54.750 to km 63.450 of NH01-006), Biratnagar Division, DoR.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00160143,"December 29, 2021"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Purchase of Vehicles - 3 Nos.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00160169,"December 29, 2021"
Enhanced Vocational Education and Training Project II - P163018,http://projects.worldbank.org/en/projects-operations/project-detail/P163018,Database Server Co-location -12 months,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00160015,"December 28, 2021"
